,Name,Political Affiliation at Appointment,Senatorial Designation / Province or Territory,Appointed on the advice of,Term (yyyy.mm.dd),start_date,end_date,reason
36,"Barnard, George Henry",Conservative (1867-1942),"Victoria, British Columbia","Borden, Robert Laird",1917.10.23 - 1945.11.08  (Resignation),1917-10-23 00:00:00,1945-11-08 00:00:00,Resignation
37,"Barootes, Efstathios William (Staff)",Progressive Conservative Party,"Regina-Qu'Appelle, Saskatchewan","Mulroney, Martin Brian",1984.12.21 - 1993.05.25  (Resignation),1984-12-21 00:00:00,1993-05-25 00:00:00,Resignation
38,"Barrow, Augustus Irvine",Liberal Party of Canada,"Halifax-Darmouth, Nova Scotia","Trudeau, Pierre Elliott",1974.05.08 - 1988.02.15  (Retirement),1974-05-08 00:00:00,1988-02-15 00:00:00,Retirement
39,"Basha, Michael G.",Liberal Party of Canada,"West Coast, Newfoundland and Labrador","St-Laurent, Louis Stephen",1951.01.24 - 1976.11.18  (Resignation),1951-01-24 00:00:00,1976-11-18 00:00:00,Resignation
40,"Batters, Denise",Conservative Party of Canada,"Saskatchewan, Saskatchewan","Harper, Stephen",2013.01.25 -,2013-01-25 00:00:00,,
41,"Bazin, Jean",Progressive Conservative Party,"De la Durantaye, Quebec","Mulroney, Martin Brian",1986.12.29 - 1989.12.08  (Resignation),1986-12-29 00:00:00,1989-12-08 00:00:00,Resignation
42,"Beaubien, Arthur-Lucien",Liberal Party of Canada,"Provencher, Manitoba","King, William Lyon Mackenzie",1940.01.29 - 1969.02.01  (Resignation),1940-01-29 00:00:00,1969-02-01 00:00:00,Resignation
43,"Beaubien, Charles-Philippe",Conservative (1867-1942),"Montarville, Quebec","Borden, Robert Laird",1915.12.03 - 1949.01.17  (Death),1915-12-03 00:00:00,1949-01-17 00:00:00,Death
44,"Beaubien, Louis-Philippe",Progressive Conservative Party,"Bedford, Quebec","Diefenbaker, John George",1960.11.16 - 1985.03.28  (Death),1960-11-16 00:00:00,1985-03-28 00:00:00,Death
45,"Beaudoin, Gérald A.",Progressive Conservative Party,"Rigaud, Quebec","Mulroney, Martin Brian",1988.09.26 - 2004.04.15  (Retirement),1988-09-26 00:00:00,2004-04-15 00:00:00,Retirement
46,"Beaulieu, Mario",Progressive Conservative Party,"De la Durantaye, Quebec","Mulroney, Martin Brian",1990.08.30 - 1994.06.22  (Resignation),1990-08-30 00:00:00,1994-06-22 00:00:00,Resignation
47,"Beauregard, Elie",Liberal Party of Canada,"Rougemont, Quebec","King, William Lyon Mackenzie",1940.02.09 - 1954.08.27  (Death),1940-02-09 00:00:00,1954-08-27 00:00:00,Death
48,"Béchard, François",Liberal Party of Canada,"De Lorimier, Quebec","Laurier, Wilfrid",1896.07.17 - 1897.04.13  (Death),1896-07-17 00:00:00,1897-04-13 00:00:00,Death
49,"Béique, Frédéric Liguori",Liberal Party of Canada,"De Salaberry, Quebec","Laurier, Wilfrid",1902.02.07 - 1933.09.12  (Death),1902-02-07 00:00:00,1933-09-12 00:00:00,Death
50,"Beith, Robert",Liberal Party of Canada,"Bowmanville, Ontario","Laurier, Wilfrid",1907.01.15 - 1922.01.26  (Death),1907-01-15 00:00:00,1922-01-26 00:00:00,Death
51,"Béland, Henri Sévérin",Liberal Party of Canada,"Lauzon, Quebec","King, William Lyon Mackenzie",1925.09.05 - 1935.04.22  (Death),1925-09-05 00:00:00,1935-04-22 00:00:00,Death
52,"Belcourt, Napoléon Antoine",Liberal Party of Canada,"Ottawa, Ontario","Laurier, Wilfrid",1907.11.22 - 1932.08.07  (Death),1907-11-22 00:00:00,1932-08-07 00:00:00,Death
53,"Bélisle, Rhéal",Progressive Conservative Party,"Sudbury, Ontario","Diefenbaker, John George",1963.02.04 - 1992.11.03  (Death),1963-02-04 00:00:00,1992-11-03 00:00:00,Death
54,"Bell (Heath), Ann Elizabeth Haddon",Liberal Party of Canada,"Nanaimo-Malaspina, British Columbia","Trudeau, Pierre Elliott",1970.10.07 - 1989.11.29  (Death),1970-10-07 00:00:00,1989-11-29 00:00:00,Death
55,"Bell, Adam Carr",Conservative (1867-1942),"Pictou, Nova Scotia","Borden, Robert Laird",1911.10.23 - 1912.10.30  (Death),1911-10-23 00:00:00,1912-10-30 00:00:00,Death
56,"Belleau, Narcisse-Fortunat",Conservative (1867-1942),"Stadacona, Quebec",Royal Proclamation,1867.10.23 - 1867.10.23  (Appointment declined),1867-10-23 00:00:00,1867-10-23 00:00:00,Appointment declined
57,"Bellemare, Diane",Conservative Party of Canada,"Alma, Quebec","Harper, Stephen",2012.09.06 -,2012-09-06 00:00:00,,
58,"Bellerose, Joseph Hyacinthe",Conservative (1867-1942),"De Lanaudière, Quebec","Macdonald, John Alexander",1873.10.07 - 1899.08.13  (Death),1873-10-07 00:00:00,1899-08-13 00:00:00,Death
59,"Bénard, Aimé",Conservative (1867-1942),"St-Boniface, Manitoba","Borden, Robert Laird",1917.09.03 - 1938.01.08  (Death),1917-09-03 00:00:00,1938-01-08 00:00:00,Death
60,"Bench, John Joseph",Liberal Party of Canada,"Lincoln, Ontario","King, William Lyon Mackenzie",1942.11.19 - 1947.12.09  (Death),1942-11-19 00:00:00,1947-12-09 00:00:00,Death
61,"Benidickson, William Moore",Liberal Party of Canada,"Kenora-Rainy River, Ontario","Pearson, Lester Bowles",1965.07.07 - 1985.01.04  (Death),1965-07-07 00:00:00,1985-01-04 00:00:00,Death
62,"Bennett, William Humphrey",Conservative (1867-1942),"Simcoe East, Ontario","Borden, Robert Laird",1917.11.13 - 1925.03.15  (Death),1917-11-13 00:00:00,1925-03-15 00:00:00,Death
63,"Benson, James Rea",Liberal-Conservative,"St. Catharines, Ontario","Macdonald, John Alexander",1868.03.14 - 1885.03.18  (Death),1868-03-14 00:00:00,1885-03-18 00:00:00,Death
64,"Bernier, Thomas-Alfred",Conservative (1867-1942),"St-Boniface, Manitoba","Abbott, John Joseph Caldwell",1892.10.27 - 1908.12.30  (Death),1892-10-27 00:00:00,1908-12-30 00:00:00,Death
65,"Berntson, Eric A.",Progressive Conservative Party,"Saskatchewan, Western Provinces (Division)","Mulroney, Martin Brian",1990.09.27 - 2001.02.27  (Resignation),1990-09-27 00:00:00,2001-02-27 00:00:00,Resignation
66,"Beyak, Lynn",Conservative Party of Canada,"Ontario, Ontario","Harper, Stephen",2013.01.25 -,2013-01-25 00:00:00,,
67,"Bielish, Martha Palamarek",Progressive Conservative Party,"Lakeland, Alberta","Clark, Charles Joseph",1979.09.27 - 1990.09.26  (Resignation),1979-09-27 00:00:00,1990-09-26 00:00:00,Resignation
68,"Bill, Caleb Rand",Liberal-Conservative,"Nova Scotia, Nova Scotia",Royal Proclamation,1867.10.23 - 1872.02.01  (Death),1867-10-23 00:00:00,1872-02-01 00:00:00,Death
69,"Bird, Florence Bayard",Liberal Party of Canada,"Carleton, Ontario","Trudeau, Pierre Elliott",1978.03.23 - 1983.01.15  (Retirement),1978-03-23 00:00:00,1983-01-15 00:00:00,Retirement
70,"Biron, Michel",Liberal Party of Canada,"Mille Isles, Quebec","Chrétien, Joseph Jacques Jean",2001.10.04 - 2009.03.16  (Retirement),2001-10-04 00:00:00,2009-03-16 00:00:00,Retirement
71,"Bishop, Charles Lawrence",Liberal Party of Canada,"Ottawa, Ontario","King, William Lyon Mackenzie",1945.04.18 - 1966.09.23  (Resignation),1945-04-18 00:00:00,1966-09-23 00:00:00,Resignation
72,"Black, Douglas",Conservative Party of Canada,"Alberta, Alberta","Harper, Stephen",2013.01.25 -,2013-01-25 00:00:00,,
73,"Black, Frank Bunting",Conservative (1867-1942),"Westmorland, New Brunswick","Meighen, Arthur",1921.11.25 - 1945.02.28  (Death),1921-11-25 00:00:00,1945-02-28 00:00:00,Death
74,"Black, Thomas Reuben",Liberal Party of Canada,"Amherst, Nova Scotia","Laurier, Wilfrid",1904.06.10 - 1905.09.14  (Death),1904-06-10 00:00:00,1905-09-14 00:00:00,Death
75,"Blain, Richard",Conservative (1867-1942),"Peel, Ontario","Borden, Robert Laird",1917.07.26 - 1926.11.27  (Death),1917-07-26 00:00:00,1926-11-27 00:00:00,Death
76,"Blair, Adam Johnston Fergusson",Liberal Party of Canada,"Ontario, Ontario",Royal Proclamation,1867.10.23 - 1867.12.29  (Death),1867-10-23 00:00:00,1867-12-29 00:00:00,Death
77,"Blais, Aristide",Liberal Party of Canada,"St. Albert, Alberta","King, William Lyon Mackenzie",1940.01.29 - 1964.11.10  (Death),1940-01-29 00:00:00,1964-11-10 00:00:00,Death
78,"Blake, Oliver",Liberal Party of Canada,"Ontario, Ontario",Royal Proclamation,1867.10.23 - 1873.12.10  (Death),1867-10-23 00:00:00,1873-12-10 00:00:00,Death
79,"Blois, Frederick Murray",Progressive Conservative Party,"Colchester-Hants, Nova Scotia","Diefenbaker, John George",1960.01.14 - 1976.10.12  (Resignation),1960-01-14 00:00:00,1976-10-12 00:00:00,Resignation
80,"Blondin, Pierre Édouard",Conservative (1867-1942),"The Laurentides, Quebec","Borden, Robert Laird",1918.07.20 - 1943.10.29  (Death),1918-07-20 00:00:00,1943-10-29 00:00:00,Death
81,"Bois, Henri Charles",Liberal Party of Canada,"Montarville, Quebec","St-Laurent, Louis Stephen",1957.01.03 - 1962.07.18  (Death),1957-01-03 00:00:00,1962-07-18 00:00:00,Death
82,"Boisvenu, Pierre-Hugues",Conservative Party of Canada,"La Salle, Quebec","Harper, Stephen",2010.01.29 -,2010-01-29 00:00:00,,
83,"Bolduc, Joseph",Nationalist Conservative,"Lauzon, Quebec","Macdonald, John Alexander",1884.10.03 - 1924.08.13  (Death),1884-10-03 00:00:00,1924-08-13 00:00:00,Death
84,"Bolduc, Roch",Progressive Conservative Party,"Gulf, Quebec","Mulroney, Martin Brian",1988.09.26 - 2003.09.10  (Retirement),1988-09-26 00:00:00,2003-09-10 00:00:00,Retirement
85,"Bonnell, M. Lorne",Liberal Party of Canada,"Murray River, Prince Edward Island","Trudeau, Pierre Elliott",1971.11.04 - 1998.01.04  (Retirement),1971-11-04 00:00:00,1998-01-04 00:00:00,Retirement
86,"Bosa, Peter",Liberal Party of Canada,"York-Caboto, Ontario","Trudeau, Pierre Elliott",1977.04.05 - 1998.12.10  (Death),1977-04-05 00:00:00,1998-12-10 00:00:00,Death
87,"Bossé, Joseph-Noël",Conservative (1867-1942),"De la Durantaye, Quebec",Royal Proclamation,1867.10.23 - 1868.01.01  (Resignation),1867-10-23 00:00:00,1868-01-01 00:00:00,Resignation
88,"Bostock, Hewitt",Liberal Party of Canada,"Kamloops, British Columbia","Laurier, Wilfrid",1904.06.06 - 1930.04.28  (Death),1904-06-06 00:00:00,1930-04-28 00:00:00,Death
89,"Botsford, Amos Edwin",Conservative (1867-1942),"New Brunswick, New Brunswick",Royal Proclamation,1867.10.23 - 1894.03.19  (Death),1867-10-23 00:00:00,1894-03-19 00:00:00,Death
90,"Bouchard, Télésphore-Damien",Liberal Party of Canada,"The Laurentides, Quebec","King, William Lyon Mackenzie",1944.03.03 - 1962.11.13  (Death),1944-03-03 00:00:00,1962-11-13 00:00:00,Death
91,"Boucher de Boucherville, Charles Eugène",Conservative (1867-1942),"Montarville, Quebec","Macdonald, John Alexander",1879.02.12 - 1915.09.10  (Death),1879-02-12 00:00:00,1915-09-10 00:00:00,Death
92,"Boucher, William Albert",Liberal Party of Canada,"Prince Albert, Saskatchewan","St-Laurent, Louis Stephen",1957.01.03 - 1976.06.23  (Death),1957-01-03 00:00:00,1976-06-23 00:00:00,Death
93,"Boudreau, J. Bernard",Liberal Party of Canada,"Nova Scotia, Nova Scotia","Chrétien, Joseph Jacques Jean",1999.10.04 - 2000.10.26  (Resignation),1999-10-04 00:00:00,2000-10-26 00:00:00,Resignation
94,"Bouffard, Paul Henri",Liberal Party of Canada,"Grandville, Quebec","King, William Lyon Mackenzie",1946.12.27 - 1966.02.16  (Death),1946-12-27 00:00:00,1966-02-16 00:00:00,Death
95,"Boulton, Charles Arkoll",Liberal-Conservative,"Marquette, Manitoba","Macdonald, John Alexander",1889.12.10 - 1899.05.15  (Death),1889-12-10 00:00:00,1899-05-15 00:00:00,Death
96,"Bourgeois, Charles",Conservative (1867-1942),"Shawinigan, Quebec","Bennett, Richard Bedford",1935.08.15 - 1940.05.15  (Death),1935-08-15 00:00:00,1940-05-15 00:00:00,Death
97,"Bourget, Maurice",Liberal Party of Canada,"The Laurentides, Quebec","Pearson, Lester Bowles",1963.04.27 - 1979.03.29  (Death),1963-04-27 00:00:00,1979-03-29 00:00:00,Death
98,"Bourinot, John",Liberal-Conservative,"Nova Scotia, Nova Scotia",Royal Proclamation,1867.10.23 - 1884.01.19  (Death),1867-10-23 00:00:00,1884-01-19 00:00:00,Death
99,"Bourque, Romuald",Liberal Party of Canada,"De la Vallière, Quebec","Pearson, Lester Bowles",1963.07.06 - 1974.08.14  (Death),1963-07-06 00:00:00,1974-08-14 00:00:00,Death
100,"Bourque, Thomas-Jean",Conservative (1867-1942),"Richibucto, New Brunswick","Borden, Robert Laird",1917.01.20 - 1952.02.16  (Death),1917-01-20 00:00:00,1952-02-16 00:00:00,Death
101,"Bowell, Mackenzie",Conservative (1867-1942),"Hastings, Ontario","Thompson, John Sparrow David",1892.12.05 - 1917.12.10  (Death),1892-12-05 00:00:00,1917-12-10 00:00:00,Death
102,"Boyd, John",Liberal-Conservative,"St. John, New Brunswick","Macdonald, John Alexander",1880.02.11 - 1893.09.21  (Resignation),1880-02-11 00:00:00,1893-09-21 00:00:00,Resignation
103,"Boyer, Arthur",Liberal Party of Canada,"Rigaud, Quebec","Laurier, Wilfrid",1909.06.28 - 1922.01.24  (Death),1909-06-28 00:00:00,1922-01-24 00:00:00,Death
104,"Boyer, Gustave Benjamin",Liberal Party of Canada,"Rigaud, Quebec","King, William Lyon Mackenzie",1922.03.11 - 1927.12.02  (Death),1922-03-11 00:00:00,1927-12-02 00:00:00,Death
105,"Bradbury, George Henry",Conservative (1867-1942),"Selkirk, Manitoba","Borden, Robert Laird",1917.12.17 - 1925.09.06  (Death),1917-12-17 00:00:00,1925-09-06 00:00:00,Death
106,"Bradette, Joseph-Arthur",Liberal Party of Canada,"Cochrane, Ontario","St-Laurent, Louis Stephen",1953.06.12 - 1961.09.12  (Death),1953-06-12 00:00:00,1961-09-12 00:00:00,Death
107,"Bradley, Frederick Gordon",Liberal Party of Canada,"Bonavista-Twillingate, Newfoundland and Labrador","St-Laurent, Louis Stephen",1953.06.12 - 1966.03.30  (Death),1953-06-12 00:00:00,1966-03-30 00:00:00,Death
108,"Braley, David",Conservative Party of Canada,"Ontario, Ontario","Harper, Stephen",2010.05.20 - 2013.11.30  (Resignation),2010-05-20 00:00:00,2013-11-30 00:00:00,Resignation
109,"Brazeau, Patrick",Conservative Party of Canada,"Repentigny, Quebec","Harper, Stephen",2009.01.08 -,2009-01-08 00:00:00,,
110,"Brooks, Alfred Johnson",Progressive Conservative Party,"Royal, New Brunswick","Diefenbaker, John George",1960.09.12 - 1967.11.07  (Resignation),1960-09-12 00:00:00,1967-11-07 00:00:00,Resignation
111,"Brouse, William Henry",Reformer,"Prescott, Ontario","Mackenzie, Alexander",1878.08.09 - 1881.08.23  (Death),1878-08-09 00:00:00,1881-08-23 00:00:00,Death
112,"Brown, Albert Joseph",Conservative (1867-1942),"Wellington, Quebec","Bennett, Richard Bedford",1932.10.06 - 1938.11.16  (Death),1932-10-06 00:00:00,1938-11-16 00:00:00,Death
113,"Brown, Bert",Conservative Party of Canada,"Alberta, Alberta","Harper, Stephen",2007.07.10 - 2013.03.22  (Retirement),2007-07-10 00:00:00,2013-03-22 00:00:00,Retirement
114,"Brown, George",Liberal Party of Canada,"Lambton, Ontario","Mackenzie, Alexander",1873.12.16 - 1880.05.09  (Death),1873-12-16 00:00:00,1880-05-09 00:00:00,Death
115,"Brunt, William Ralph",Progressive Conservative Party,"Hanover, Ontario","Diefenbaker, John George",1957.10.12 - 1962.07.07  (Death),1957-10-12 00:00:00,1962-07-07 00:00:00,Death
116,"Bryden, John G.",Liberal Party of Canada,"New Brunswick, New Brunswick","Chrétien, Joseph Jacques Jean",1994.11.23 - 2009.10.31  (Resignation),1994-11-23 00:00:00,2009-10-31 00:00:00,Resignation
117,"Buchanan, John Alexander",Progressive Conservative Party,"Edmonton, Alberta","Diefenbaker, John George",1959.01.15 - 1965.10.02  (Resignation),1959-01-15 00:00:00,1965-10-02 00:00:00,Resignation
118,"Buchanan, John M.",Progressive Conservative Party,"Halifax, Nova Scotia","Mulroney, Martin Brian",1990.09.12 - 2006.04.22  (Retirement),1990-09-12 00:00:00,2006-04-22 00:00:00,Retirement
119,"Buchanan, William Ashbury",Liberal Party of Canada,"Lethbridge, Alberta","King, William Lyon Mackenzie",1925.09.05 - 1954.07.11  (Death),1925-09-05 00:00:00,1954-07-11 00:00:00,Death
120,"Buckwold, Sidney Labe",Liberal Party of Canada,"Saskatoon, Saskatchewan","Trudeau, Pierre Elliott",1971.11.04 - 1991.11.03  (Retirement),1971-11-04 00:00:00,1991-11-03 00:00:00,Retirement
121,"Bull, Harcourt Burland",Conservative (1867-1942),"Hamilton, Ontario","Macdonald, John Alexander",1879.02.24 - 1881.08.12  (Death),1879-02-24 00:00:00,1881-08-12 00:00:00,Death
122,"Burchill, George Percival",Liberal Party of Canada,"Northumberland-Miramichi, New Brunswick","King, William Lyon Mackenzie",1945.04.19 - 1977.08.19  (Resignation),1945-04-19 00:00:00,1977-08-19 00:00:00,Resignation
123,"Bureau, Jacques",Liberal Party of Canada,"La Salle, Quebec","King, William Lyon Mackenzie",1925.09.05 - 1933.01.23  (Death),1925-09-05 00:00:00,1933-01-23 00:00:00,Death
124,"Bureau, Jacques-Olivier",Liberal Party of Canada,"De Lorimier, Quebec",Royal Proclamation,1867.10.23 - 1883.02.07  (Death),1867-10-23 00:00:00,1883-02-07 00:00:00,Death
125,"Burke, Vincent P.",Liberal Party of Canada,"St. Jacques, Newfoundland and Labrador","St-Laurent, Louis Stephen",1950.01.25 - 1953.12.19  (Death),1950-01-25 00:00:00,1953-12-19 00:00:00,Death
126,"Burnham, Asa Allworth",Conservative (1867-1942),"Ontario, Ontario",Royal Proclamation,1867.10.23 - 1873.05.10  (Death),1867-10-23 00:00:00,1873-05-10 00:00:00,Death
127,"Burns, Kennedy Francis",Liberal-Conservative,"New Brunswick, New Brunswick","Thompson, John Sparrow David",1894.03.21 - 1895.06.23  (Death),1894-03-21 00:00:00,1895-06-23 00:00:00,Death
128,"Burns, Patrick",Independent,"Calgary, Alberta","Bennett, Richard Bedford",1931.07.06 - 1936.06.01  (Resignation),1931-07-06 00:00:00,1936-06-01 00:00:00,Resignation
129,"Burpee, Charles",Liberal Party of Canada,"New Brunswick, New Brunswick","Laurier, Wilfrid",1900.02.01 - 1900.07.19  (Resignation),1900-02-01 00:00:00,1900-07-19 00:00:00,Resignation
130,"Buth, JoAnne L.",Conservative Party of Canada,"Manitoba, Manitoba","Harper, Stephen",2012.01.06 - 2014.08.10  (Resignation),2012-01-06 00:00:00,2014-08-10 00:00:00,Resignation
131,"Butts, Peggy",Liberal Party of Canada,"Nova Scotia, Nova Scotia","Chrétien, Joseph Jacques Jean",1997.09.22 - 1999.08.15  (Retirement),1997-09-22 00:00:00,1999-08-15 00:00:00,Retirement
132,"Calder, James Alexander",Conservative (1867-1942),"Moose Jaw, Saskatchewan","Meighen, Arthur",1921.09.22 - 1956.07.20  (Death),1921-09-22 00:00:00,1956-07-20 00:00:00,Death
133,"Callbeck, Catherine S.",Liberal Party of Canada,"Prince Edward Island, Prince Edward Island","Chrétien, Joseph Jacques Jean",1997.09.22 - 2014.07.25  (Retirement),1997-09-22 00:00:00,2014-07-25 00:00:00,Retirement
134,"Cameron, Donald",Independent Liberal,"Banff, Alberta","St-Laurent, Louis Stephen",1955.07.28 - 1987.09.19  (Resignation),1955-07-28 00:00:00,1987-09-19 00:00:00,Resignation
135,"Campbell, Alexander",Conservative (1867-1942),"Cataraqui, Ontario",Royal Proclamation,1867.10.23 - 1887.02.07  (Resignation),1867-10-23 00:00:00,1887-02-07 00:00:00,Resignation
136,"Campbell, Archibald",Liberal Party of Canada,"Toronto West, Ontario","Laurier, Wilfrid",1907.11.22 - 1913.01.15  (Death),1907-11-22 00:00:00,1913-01-15 00:00:00,Death
137,"Campbell, Gordon Peter",Liberal Party of Canada,"Toronto, Ontario","King, William Lyon Mackenzie",1943.02.19 - 1964.01.16  (Death),1943-02-19 00:00:00,1964-01-16 00:00:00,Death
